categorie;type_id;categorie,type_id
Green Waste;5111;Green Waste,5111
Org.  part of household garbage;5112;Org.  part of household garbage,5112
Sewage Sludge;6112;Sewage Sludge,6112
Animal Manure;6111;Animal Manure,6111
Agricultural crop by-products;2212;Agricultural crop by-products,2212
Commercial and industrial org. waste ;5111;Commercial and industrial org. waste ,5111
Forest wood;1111;Forest wood,1111
Wood from landscape maintenance;2221;Wood from landscape maintenance,2221
Wood residues;4114;Wood residues,4114
Waste wood;5212;Waste wood,5212
