type_id,Typical,Minimum,Maximum,cat_aggreg
1111,19,17.8,19.2,forest
1112,19.3,18.5,19.8,forest
1113,19,18.7,19.3,forest
1114,19.2,19,19.3,forest
1211,18.7,18.3,19.5,forest
1212,19.2,18.5,20.5,forest
1213,18.7,18.3,19.5,forest
1214,19.2,18.5,20.5,forest
1221,18.6,17.7,19.3,forest
1222,18.6,17.7,19.3,forest
2111,15.85,15.47,16.24,agriculture
2112,17.98,17.14,20.39,agriculture
2113,16.64,15.95,17.66,agriculture
2114,17.38,17.17,17.58,agriculture
2115,15.57,15.08,16.05,agriculture
2116,16.50,16.50,17.00,agriculture
2121,18.40,17.70,19.00,agriculture
2122,18.40,17.30,18.80,agriculture
2123,18.10,17.60,18.40,agriculture
2211,14.47,13.66,15.27,agriculture
2212,15.95,14.49,17.4,agriculture
2213,17.67,17.50,17.99,agriculture
2214,17.04,16.35,17.73,agriculture
2215,15,15,15,agriculture
2216,15,15,15,agriculture
2221,17.5,15.8,18.1,agriculture
2222,17.2,16.0,18.1,agriculture
2223,17.2,15.9,17.5,agriculture
2224,16.7,15.0,17.6,agriculture
2225,16.8,15.9,17.7,agriculture
2311,18.7,17.49,20.06,agriculture
3111,18.7,17.49,20.06,agriculture
3112,18.95,18.4,20,agriculture
3121,18.7,17.49,20.06,agriculture
3122,18.95,18.4,20,agriculture
4111,18.77,18.77,18.77,forest
4112,18.77,18.77,18.77,forest
4113,17.97,17.97,17.97,forest
4114,17.97,17.97,17.97,forest
4121,18.38,18.38,18.38,forest
4122,18.39,18.39,18.39,forest
4123,19.2,18.9,22.7,forest
4124,11.5,11.5,11.5,forest
4131,19.2,18.9,22.7,forest
4132,11.5,11.5,11.5,forest
4211,20.34,17.12,21.17,agriculture
4212,12.2,11,13.1,agriculture
4213,9.47,8.66,10.27,agriculture
4214,12.5,10.8,13.1,agriculture
4215,10.95,9.49,12.4,agriculture
4221,10,10,10,agriculture
5111,5,5,5,organic waste
5112,5,5,5,organic waste
5211,10,10,10,forest
5212,10,10,10,forest
6111,5,5,5,agriculture
6112,5,5,5,agriculture
6113,2.5,2.5,2.5,agriculture
