nuts3;nuts2;bidding_zone
ITC11;ITC1;IT_NORD
ITC12;ITC1;IT_NORD
ITC13;ITC1;IT_NORD
ITC14;ITC1;IT_NORD
ITC15;ITC1;IT_NORD
ITC16;ITC1;IT_NORD
ITC17;ITC1;IT_NORD
ITC18;ITC1;IT_NORD
ITC20;ITC2;IT_NORD
ITC31;ITC3;IT_NORD
ITC32;ITC3;IT_NORD
ITC33;ITC3;IT_NORD
ITC34;ITC3;IT_NORD
ITC41;ITC4;IT_NORD
ITC42;ITC4;IT_NORD
ITC43;ITC4;IT_NORD
ITC44;ITC4;IT_NORD
ITC46;ITC4;IT_NORD
ITC47;ITC4;IT_NORD
ITC48;ITC4;IT_NORD
ITC49;ITC4;IT_NORD
ITC4A;ITC4;IT_NORD
ITC4B;ITC4;IT_NORD
ITC4C;ITC4;IT_NORD
ITC4D;ITC4;IT_NORD
ITF11;ITF1;IT_CSUD_2020
ITF12;ITF1;IT_CSUD_2020
ITF13;ITF1;IT_CSUD_2020
ITF14;ITF1;IT_CSUD_2020
ITF21;ITF2;IT_SUD_2020
ITF22;ITF2;IT_SUD_2020
ITF31;ITF3;IT_CSUD_2020
ITF32;ITF3;IT_CSUD_2020
ITF33;ITF3;IT_CSUD_2020
ITF34;ITF3;IT_CSUD_2020
ITF35;ITF3;IT_CSUD_2020
ITF43;ITF4;IT_SUD_2020
ITF44;ITF4;IT_SUD_2020
ITF45;ITF4;IT_SUD_2020
ITF46;ITF4;IT_SUD_2020
ITF47;ITF4;IT_SUD_2020
ITF48;ITF4;IT_SUD_2020
ITF51;ITF5;IT_SUD_2020
ITF52;ITF5;IT_SUD_2020
ITF61;ITF6;IT_SUD_2020
ITF62;ITF6;IT_SUD_2020
ITF63;ITF6;IT_SUD_2020
ITF64;ITF6;IT_SUD_2020
ITF65;ITF6;IT_SUD_2020
ITG11;ITG1;IT_SICI — IT
ITG12;ITG1;IT_SICI — IT
ITG13;ITG1;IT_SICI — IT
ITG14;ITG1;IT_SICI — IT
ITG15;ITG1;IT_SICI — IT
ITG16;ITG1;IT_SICI — IT
ITG17;ITG1;IT_SICI — IT
ITG18;ITG1;IT_SICI — IT
ITG19;ITG1;IT_SICI — IT
ITG25;ITG2;IT_SARD — IT
ITG26;ITG2;IT_SARD — IT
ITG27;ITG2;IT_SARD — IT
ITG28;ITG2;IT_SARD — IT
ITG29;ITG2;IT_SARD — IT
ITG2A;ITG2;IT_SARD — IT
ITG2B;ITG2;IT_SARD — IT
ITG2C;ITG2;IT_SARD — IT
ITH10;ITH1;IT_NORD
ITH20;ITH2;IT_NORD
